title,link,published
Zydus Lifesciences to raise Rs 5000 cr via equity Q2 profit up 38,https://economictimes.indiatimes.com/markets/stocks/news/zydus-lifesciences-to-raise-rs-5000-cr-via-equity-q2-profit-up-38/articleshow/125140600.cms,"Thu, 06 Nov 2025 23:30:04 +0530"
JM Financial Q2 Results Profit rises 16 to Rs 270 crore,https://economictimes.indiatimes.com/markets/stocks/earnings/jm-financial-q2-results-profit-rises-16-to-rs-270-crore/articleshow/125138827.cms,"Thu, 06 Nov 2025 22:07:27 +0530"
Ahead of Market 10 things that will decide stock market action on Friday,https://economictimes.indiatimes.com/markets/stocks/news/ahead-of-market-10-things-that-will-decide-stock-market-action-on-friday/articleshow/125138437.cms,"Thu, 06 Nov 2025 21:50:36 +0530"
Market Trading Guide Buy Astral Dabur and 3 more smallcap stocks on Friday for up to 9 gains,https://economictimes.indiatimes.com/markets/stocks/news/market-trading-guide-buy-astral-dabur-and-3-more-smallcap-stocks-on-friday-for-up-to-9-gains/articleshow/125138329.cms,"Thu, 06 Nov 2025 21:44:09 +0530"
Godrej Properties records Rs 405 crore net profit in Q2 bookings up 64,https://economictimes.indiatimes.com/markets/stocks/earnings/godrej-properties-records-rs-405-crore-net-profit-in-q2-bookings-up-64/articleshow/125137761.cms,"Thu, 06 Nov 2025 21:11:06 +0530"
Infosys sets November 14 as record date for Rs 18000 crore share buyback,https://economictimes.indiatimes.com/markets/stocks/news/infosys-sets-november-14-as-record-date-for-rs-18000-crore-share-buyback/articleshow/125137300.cms,"Thu, 06 Nov 2025 20:41:46 +0530"
Bajaj Auto unit to acquire 24000 shares in Pierer Bajaj AG for 2432 million euro,https://economictimes.indiatimes.com/markets/stocks/news/bajaj-auto-unit-to-acquire-24000-shares-in-pierer-bajaj-ag-for-24-32-million-euro/articleshow/125137192.cms,"Thu, 06 Nov 2025 20:33:26 +0530"
RBL Bank bulk deal Societe Generale buys shares worth Rs 101 crore,https://economictimes.indiatimes.com/markets/stocks/news/rbl-bank-bulk-deal-societe-generale-buys-shares-worth-rs-101-crore/articleshow/125137129.cms,"Thu, 06 Nov 2025 20:31:25 +0530"
US stocks trade lower as investors assess corporate earnings mixed economic data,https://economictimes.indiatimes.com/markets/stocks/news/us-stocks-open-lower-as-investors-assess-corporate-earnings-mixed-economic-data/articleshow/125136841.cms,"Thu, 06 Nov 2025 20:06:47 +0530"
Apollo Hospitals Q2 Results PAT rises 26 YoY to Rs 477 crore,https://economictimes.indiatimes.com/markets/stocks/earnings/apollo-hospitals-q2-results-pat-rises-26-yoy-to-rs-477-crore/articleshow/125136057.cms,"Thu, 06 Nov 2025 19:24:44 +0530"
ET Market Watch Sensex slips 148 pts Nifty below 25550 as profit booking hits financial metal stocks,https://economictimes.indiatimes.com/markets/stocks/etmarkets-podcast/et-market-watch-sensex-slips-148-pts-nifty-below-25550-as-profit-booking-hits-financial-metal-stocks/podcast/125135954.cms,"Thu, 06 Nov 2025 19:14:22 +0530"
Markets decide share price Sebi not to intervene in setting valuations Chairman Tuhin Kanta Pandey,https://economictimes.indiatimes.com/markets/stocks/news/markets-decide-share-price-sebi-not-to-intervene-in-setting-valuations-chairman-tuhin-kanta-pandey/articleshow/125135624.cms,"Thu, 06 Nov 2025 18:59:40 +0530"
Singtel to sell 08 Bharti Airtel stake in Rs 10300 crore block deal Report,https://economictimes.indiatimes.com/markets/stocks/news/singtel-to-sell-0-8-bharti-airtel-stake-in-rs-10300-crore-block-deal-report/articleshow/125133981.cms,"Thu, 06 Nov 2025 17:46:30 +0530"
Gainers amp Losers Redington Paytm among 6 stocks that moved most on Thursday,https://economictimes.indiatimes.com/markets/stocks/news/gainers-losers-redington-paytm-among-6-stocks-that-moved-most-on-thursday/slideshow/125134037.cms,"Thu, 06 Nov 2025 17:43:01 +0530"
Valuation check 9 stocks trading above Industry PE benchmarks,https://economictimes.indiatimes.com/markets/stocks/news/valuation-check-9-stocks-trading-above-industry-pe-benchmarks/slideshow/125133900.cms,"Thu, 06 Nov 2025 17:30:38 +0530"
LIC Q2 Results FY26 Cons PAT jumps 31 YoY to Rs 10098 crore net premium income grows 5,https://economictimes.indiatimes.com/markets/stocks/earnings/lic-q2-results-cons-pat-jumps-31-yoy-to-rs-10098-crore-net-premium-income-grows-5/articleshow/125133025.cms,"Thu, 06 Nov 2025 17:00:50 +0530"
Bajaj Housing Q2 Results PAT jumps 18 YoY to Rs 643 crore NII up 14,https://economictimes.indiatimes.com/markets/stocks/earnings/bajaj-housing-q2-results-pat-jumps-18-yoy-to-rs-643-crore-nii-up-14/articleshow/125132334.cms,"Thu, 06 Nov 2025 16:38:39 +0530"
State Bank Of India among 5 stocks that hit 52week highs gained up to 16 in a month,https://economictimes.indiatimes.com/markets/stocks/news/state-bank-of-india-among-5-stocks-that-hit-52-week-highs-gained-up-to-16-in-a-month/slideshow/125132480.cms,"Thu, 06 Nov 2025 16:28:32 +0530"
Sometimes we see bubbles Big short Michael Burrys bearish bet on worlds most valuable stock meets global AI selloff,https://economictimes.indiatimes.com/markets/stocks/news/sometimes-we-see-bubbles-big-short-michael-burrys-bearish-bet-on-worlds-most-valuable-stock-meets-global-ai-sell-off/articleshow/125131509.cms,"Thu, 06 Nov 2025 15:59:44 +0530"
Trent Q2 Preview Store expansion to power revenue growth up to 21 YoY 5 things to watch out for,https://economictimes.indiatimes.com/markets/stocks/earnings/trent-q2-preview-store-expansion-to-power-revenue-growth-up-to-21-yoy-5-things-to-watch-out-for/articleshow/125131464.cms,"Thu, 06 Nov 2025 15:56:02 +0530"
Market Wrap Sensex slips 148 pts Nifty below 25550 as financial metal stocks drag,https://economictimes.indiatimes.com/markets/stocks/news/market-wrap-sensex-slips-148-pts-nifty-below-25550-as-financial-metal-stocks-drag/articleshow/125130821.cms,"Thu, 06 Nov 2025 15:52:11 +0530"
Nomura upgrades Asian Paints Berger Paints to Buy Heres why analysts are turning bullish,https://economictimes.indiatimes.com/markets/stocks/news/nomura-upgrades-asian-paints-berger-paints-to-buy-heres-why-analysts-are-turning-bullish/articleshow/125130510.cms,"Thu, 06 Nov 2025 15:22:22 +0530"
330 returns in 3 years Mukul Agrawalbacked multibagger Ajmera Realty declares 15 stock split,https://economictimes.indiatimes.com/markets/stocks/news/330-returns-in-3-years-mukul-agrawal-backed-multibagger-ajmera-realty-declares-15-stock-split/articleshow/125129931.cms,"Thu, 06 Nov 2025 14:58:22 +0530"
Pine Labs IPO opens tomorrow GMP among 10 things you should know before investing in this fintech,https://economictimes.indiatimes.com/markets/stocks/news/pine-labs-ipo-opens-tomorrow-gmp-among-10-things-you-should-know-before-investing-in-this-fintech/slideshow/125129355.cms,"Thu, 06 Nov 2025 14:17:36 +0530"
SBI to launch IPO for SBI Funds Management plans to divest 63 stake,https://economictimes.indiatimes.com/markets/stocks/news/sbi-to-launch-ipo-for-sbi-funds-management-plans-to-divest-6-3-stake/articleshow/125128228.cms,"Thu, 06 Nov 2025 13:32:49 +0530"
Redington shares soar 14 as Q2 profit jumps 32 YoY to Rs 388 crore revenue up 17,https://economictimes.indiatimes.com/markets/stocks/news/redington-shares-jump-14-as-q2-net-profit-rises-32-to-rs-388-crore-revenue-up-17/articleshow/125128105.cms,"Thu, 06 Nov 2025 13:28:49 +0530"
Anil Ambani group stocks Reliance Power Reliance Infra and others slide up to 5 Whats behind the drop,https://economictimes.indiatimes.com/markets/stocks/news/anil-ambani-group-stocks-reliance-power-reliance-infra-and-others-slide-up-to-5-whats-behind-the-drop/articleshow/125127877.cms,"Thu, 06 Nov 2025 13:16:39 +0530"
Orkla India shares slip below IPO price after listing Good entry point for investors,https://economictimes.indiatimes.com/markets/stocks/news/orkla-india-shares-slip-below-ipo-price-after-listing-good-entry-point-for-investors/articleshow/125127740.cms,"Thu, 06 Nov 2025 13:11:05 +0530"
Japans Nikkei rises more than 1 as Wall Street rebound restores risk appetite,https://economictimes.indiatimes.com/markets/stocks/news/japans-nikkei-rises-more-than-1-as-wall-street-rebound-restores-risk-appetite/articleshow/125126411.cms,"Thu, 06 Nov 2025 12:34:46 +0530"
Adani Power shares to rally 17 from current levels Morgan Stanley lists 4 reasons,https://economictimes.indiatimes.com/markets/stocks/news/adani-power-shares-to-rally-17-from-current-levels-morgan-stanley-lists-4-reasons/articleshow/125126393.cms,"Thu, 06 Nov 2025 12:34:17 +0530"
Multibaggers 5 Nifty500 stocks that doubled in just 7 months  Are you invested,https://economictimes.indiatimes.com/markets/stocks/news/multibaggers-5-nifty500-stocks-that-doubled-in-just-7-months-are-you-invested/slideshow/125127014.cms,"Thu, 06 Nov 2025 12:25:16 +0530"
Motilal Oswal initiates Buy on Waaree Energies sets Rs 4000 target price on scale integration strength,https://economictimes.indiatimes.com/markets/stocks/news/motilal-oswal-initiates-buy-on-waaree-energies-sets-rs-4000-target-price-on-scale-integration-strength/articleshow/125125833.cms,"Thu, 06 Nov 2025 12:18:57 +0530"
Asian Paints shares rally 6 Here are 4 reasons behind the surge today,https://economictimes.indiatimes.com/markets/stocks/news/asian-paints-shares-rally-6-here-are-4-reasons-behind-the-surge-today/articleshow/125125297.cms,"Thu, 06 Nov 2025 11:52:42 +0530"
Motilal Oswal Nuvama cut Suzlon share target price despite 538 YoY PAT jump in Q2FY26 Heres what triggered the cuts,https://economictimes.indiatimes.com/markets/stocks/news/motilal-oswal-nuvama-cut-suzlon-share-target-price-despite-538-yoy-pat-jump-in-q2fy26-heres-what-triggered-the-cuts/articleshow/125124946.cms,"Thu, 06 Nov 2025 11:37:41 +0530"
Nykaa Q2 Preview Strong festive demand and margin gains to lift earnings,https://economictimes.indiatimes.com/markets/stocks/earnings/nykaa-q2-preview-strong-festive-demand-and-margin-gains-to-lift-earnings/articleshow/125124422.cms,"Thu, 06 Nov 2025 11:15:07 +0530"
Bajaj Auto Q2 Preview PAT may rise 16 YoY as exports and premium mix drive gains,https://economictimes.indiatimes.com/markets/stocks/earnings/bajaj-auto-q2-preview-pat-may-rise-16-yoy-as-exports-and-premium-mix-drive-gains/articleshow/125124315.cms,"Thu, 06 Nov 2025 11:08:05 +0530"
Groww IPO Day 2 What top 10 brokerages have to say about the Rs 6632 cr issue,https://economictimes.indiatimes.com/markets/stocks/news/groww-ipo-day-2-check-what-top-10-brokerages-said-before-investing-in-this-rs-6632-crore-issue/slideshow/125123880.cms,"Thu, 06 Nov 2025 10:39:01 +0530"
